[2026-04-06 22:48:53] DEBUG    binance_bot — [BNBUSDT] LONG відхилено: EMA OK, RSI=52.9 OK, але MACD не перетинає вгору
[2026-04-06 22:48:53] INFO     binance_bot — 📊 [BNBUSDT] Ціна=606.90 | EMA21/EMA50 ⬆️ UP | RSI=52.9 | MACD diff=0.0203 | → немає (LONG відхилено)
[2026-04-06 22:48:53] DEBUG    binance_bot — [XRPUSDT] SHORT відхилено: EMA OK, RSI=42.5 OK, але MACD не перетинає вниз
[2026-04-06 22:48:53] INFO     binance_bot — 📊 [XRPUSDT] Ціна=1.34 | EMA21/EMA50 ⬇️ DOWN | RSI=42.5 | MACD diff=-0.0003 | → немає (SHORT відхилено)
[2026-04-06 22:48:54] DEBUG    binance_bot — [SOLUSDT] SHORT відхилено: EMA OK, RSI=43.2 OK, але MACD не перетинає вниз
[2026-04-06 22:48:54] INFO     binance_bot — 📊 [SOLUSDT] Ціна=81.65 | EMA21/EMA50 ⬇️ DOWN | RSI=43.2 | MACD diff=-0.0045 | → немає (SHORT відхилено)
[2026-04-06 22:48:54] DEBUG    binance_bot — [ETHUSDT] LONG відхилено: EMA OK, RSI=45.5 OK, але MACD не перетинає вгору
[2026-04-06 22:48:54] INFO     binance_bot — 📊 [ETHUSDT] Ціна=2139.11 | EMA21/EMA50 ⬆️ UP | RSI=45.5 | MACD diff=-0.7356 | → немає (LONG відхилено)
[2026-04-06 22:48:54] INFO     binance_bot — ✅ [AVAXUSDT] SHORT: EMA21=9.34 < EMA50=9.35, RSI=38.6, MACD перетнув вниз
[2026-04-06 22:48:54] INFO     binance_bot — 📊 [AVAXUSDT] Ціна=9.30 | EMA21/EMA50 ⬇️ DOWN | RSI=38.6 | MACD diff=-0.0007 | → SHORT
[2026-04-06 22:48:55] INFO     binance_bot — 💼 Баланс: 4999.9055 USDT
[2026-04-06 22:48:55] INFO     binance_bot — 🔒 Баланс обмежено: реальний=4999.91 USDT → торговий=100.00 USDT
[2026-04-06 22:48:56] DEBUG    binance_bot — AVAXUSDT фільтри: stepSize=1.0 minQty=1.0 precision=0
